smiles,pLogS
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,3.67778070526608
CCn1c(-c2nonc2N)nc2cncc(OC3CCNCC3)c21,3.69897000433602
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CSCCN3C)c21,4.63827216398241
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCN(C)C3)c21,4.35654732351381
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCNCCc3ccc(OC)cc3)c21,4.43179827593301
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCNCC3)c21,3.79860287567955
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCNCC3CC3)c21,3.85387196432176
CCn1c(-c2nonc2N)nc2c(-c3ccccc3)ncc(OCC3CCCNC3)c21,5.04575749056067
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC(C)(C)CN)c21,3.67985371388895
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCNC3CCC3)c21,4.06550154875643
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCNC3)c21,4.08092190762393
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCN)c21,3.7619538968712
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CNCC(C)O3)c21,3.88941028970075
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CN(C)CCO3)c21,4.46852108295774
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CNCCO3)c21,3.81247927916354
CCN1CCO[C@H](COc2cnc(C#CC(C)(C)O)c3nc(-c4nonc4N)n(CC)c23)C1,5.22184874961636
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CNCCS3)c21,3.95860731484177
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC[C@@H]3CCCN3)c21,3.65364702554936
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC[C@H](C)N)c21,3.92445303860747
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H](C)CN)c21,3.85078088734462
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H](C)CNC3CC3)c21,4.56863623584101
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCCN)c21,3.67778070526608
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCC3CSCCN3)c21,5.15490195998574
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC[C@@H]3CCCCN3)c21,3.69897000433602
CCCC(CN)COc1cnc(C#CC(C)(C)O)c2nc(-c3nonc3N)n(CC)c12,3.69250396208679
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC(F)CN)c21,4.03621217265444
CCCC(CCN)Oc1cnc(C#CC(C)(C)O)c2nc(-c3nonc3N)n(CC)c12,3.74714696902011
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCNC3CCCC3)c21,3.67778070526608
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCN3CCCC3)c21,3.81815641205523
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC(CN)CC(C)C)c21,3.7851561519523
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3(CN)CC3)c21,3.79588001734408
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC(CCN)C3CCCCC3)c21,3.95078197732982
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCC(N)C3CCSCC3)c21,3.82102305270683
CCCCC(CN)COc1cnc(C#CC(C)(C)O)c2nc(-c3nonc3N)n(CC)c12,3.96657624451305
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCCCN3CCCCC3)c21,4.45593195564972
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC[C@@H](N)C(C)C)c21,3.68613277963085
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(NCC(=O)N3CCOCC3)CC2)c1,4.06048074738138
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(NC(=O)N(C)C)CC2)c1,3.98296666070122
COC(=O)/N=C(/NC[C@@H](C)c1c(-c2cc(C)cc(C)c2)[nH]c2sc(C(C)(C)C(=O)N3C4CCC3CC4)cc12)N1CCC(c2ccncc2)C1,5.33724216831843
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(O)CN3CCNCC3)CC2)c1,3.37161106994969
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CN/C(=N/C(=O)OC(C)C)N2CCC(c3ccncc3)C2)c1,6.09691001300806
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2C(=O)CN2CCN(CC(=O)N3CCCC3)CC2)c1,4.14874165128092
CC(=O)NC1CCN(C(=O)CN2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)C1,3.97061622231479
CC(=O)N1CCN(CC(O)CN2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)CC1,3.62708799702989
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N3CCCC3)CC2)c1,4.4089353929735
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CN2CCN(CC(=O)N3CCCC3)CC2)c1,5.69897000433602
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CN/C(=N/C(=O)OC(C)C)N2CCC(c3ccncc3)CC2)c1,5.85387196432176
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4CCCC4)cc3c2[C@H](C)CNC(=O)N2CCC(c3ccncc3)C2)c1,5.82390874094432
CCc1[nH]c(=O)n(C(=O)c2ccccc2)c1C(=O)c1ccc(-n2ccnc2C)cc1,4.63827216398241
CC(C)C[C@H](NC(=O)CC(O)C(CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(CN)c1,4.69897000433602
CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCCN(CCO)CCO,2.36653154442041
N/C(=N/O)c1ccc2[nH]c(-c3cccc(-c4ccccc4O)c3O)cc2c1,3.42021640338319
CC(C)O/N=C(/N)c1ccc2[nH]c(-c3cccc(-c4ccccc4O)c3O)cc2c1,4.60205999132796
CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCN,2.30980391997149
CC(C)C[C@H](NC(=O)CC(O)C(CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(CN=C(N)N)c1,4.39794000867204
N/C(=N/C(=O)OCC(Cl)(Cl)Cl)c1ccc2[nH]c(-c3cccc(-c4ccccc4O)c3O)cc2c1,5.0
Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,3.0
CCC(=O)n1c(C(=O)c2ccc(-n3ccnc3C)cc2)c(CC)[nH]c1=O,4.52287874528034
Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2[C@H](C)CNC(=O)N2CCC(c3ccncc3)CC2)c1,6.22184874961636
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,3.56863623584101
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@@H]3CN(C)CCS3)c21,4.63827216398241
C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,5.22184874961636
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)CCO)c34)cc2C)cn1,4.18045606445813
Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,4.55284196865778
[H]/N=C(/N)Nc1ccc(CC(NC(=O)OC)P(=O)(Oc2ccccc2)Oc2ccccc2)cc1,3.69897000433602
