smiles,pLogS
COc1ccc2[nH]c(-c3nc(NCCCCN4CCCC4)c4ccccc4n3)c(C=O)c2c1,9.78182960082282
CC(C)c1nc(CN(C)C(=O)NCCC(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,10.5184456255608
Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccc([N+](=O)[O-])cc3)C1=N2,4.49894073778225
O=C1/C(=C/c2c[nH]c3nc(Cl)ccc23)Oc2c1ccc(O)c2CN1CCNCC1,3.88605664769316
COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)nc(C)nc2cc1O,4.33724216831843
CC[C@H](C)Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n3n2CCC3)n1,8.90240496115167
CC1(C)CC(=O)C2=C(C1)Nc1nn(-c3ccccc3)c(O)c1C2c1ccccc1Cl,3.92081875395238
Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCC(N3CCC(c4nnc[nH]4)CC3)CC2)cc2cn[nH]c12,3.46597389394386
Cc1nc(OCc2cn(CC(=O)Nc3nc(-c4ccc[cH-]4)cs3)nn2)nc(-c2ccccc2)c1C(=O)OC(C)C,5.423641844446795
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)nc(OC(CO)CO)c2Cl)n[nH]1,3.50863830616573
Cc1cc(C(=O)Nc2ccc(F)c(Cl)c2)c(C)n1-c1ccccc1C(F)(F)F,3.30102999566398
COc1ccc(NC(=O)Nc2cc(C)nc3ccccc23)cc1OC,5.38721614328026
CNC(=O)c1nnc2c(-c3cc(OC)ccc3OC)cccc2c1N,5.58502665202918
CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1-c1cc(C)cc(Cn2ccnc2)c1,4.61978875828839
c1ccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)nc3ccccc23)cc1,9.21643932931512
COc1ccc2[nH]c(C(=O)N3CC(=O)N(Cc4ccc5cn[nH]c5c4)[C@@H](Cc4ccccc4)C3)cc2c1,4.48678239993206
